,line_id,count
0,15,4858123
1,27,4053534
2,40,3918855
3,39,3794461
4,46,3567679
5,145,3425703
6,16,2781827
7,41,2499336
8,25,2407443
9,66,2367176
10,13,2163780
11,38,2111667
12,7,2044776
13,14,2030833
14,9,1886403
15,83,1823497
16,123,1777627
17,747,1536836
18,171,1534655
19,122,1500484
20,37,1389947
21,140,1301732
22,67,1292836
23,4,1292484
24,31,1182383
25,42,1180158
26,151,1140823
27,18,1086101
28,130,1047811
29,11,1035129
30,75,999303
31,33,975994
32,272,947316
33,79,934018
34,68,921965
35,65,912091
36,150,881772
37,29,872013
38,1,829601
39,49,816531
40,84,783311
41,76,754776
42,102,742902
43,17,708566
44,120,707213
45,451,659946
46,238,652962
47,54,646041
48,44,640752
49,63,500726
50,271,429765
51,32,353054
52,56,329242
53,332,318623
54,59,290408
55,43,280823
56,220,280582
57,114,225550
58,104,211056
59,,194899
60,142,148305
61,331,144992
62,53,112416
63,51,75724
64,111,55282
65,116,26385
66,118,11553
67,46A,5586
68,26,5503
69,69,2026
70,27A,1820
71,29A,1696
72,54A,1608
73,17A,1162
74,65B,1141
75,27B,1052
76,532,1002
77,56A,869
78,270,690
79,51D,493
80,185,375
81,86,272
82,45A,226
83,33A,152
84,33B,49
